0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
6187,2017-03-30,POR,HOU,1.0,CJ McCollum,Damian Lillard,Ed Davis,Jake Layman,Jusuf Nurkic,Maurice Harkless,Pat Connaughton,none,none,none,none,none,none,none,none,Clint Capela,Eric Gordon,James Harden,Lou Williams,Montrezi Harrell,Patrick Beverley,Trevor Ariza,none,none,none,none,none,none,none,none,,,,,,,,,,
6188,2017-10-21,POR,MIL,0.0,CJ McCollum,Damian Lillard,Ed Davis,Jake Layman,Jusuf Nurkic,Maurice Harkless,Pat Connaughton,Zach Collins,none,none,none,none,none,none,none,Giannis Antetokounmpo,Greg Monroe,Jabari Parker,Khris Middleton,Malcolm Brogdon,Sterling Brown,Tony Snell,none,none,none,none,none,none,none,none,,,,,,,,,,
6189,2017-11-13,POR,DEN,1.0,CJ McCollum,Damian Lillard,Ed Davis,Jake Layman,Jusuf Nurkic,Maurice Harkless,Pat Connaughton,Zach Collins,none,none,none,none,none,none,none,Emmanuel Mudiay,Gary Harris,Jamal Murray,Malik Beasley,Mason Plumlee,Monte Morris,Nikola Jokic,Paul Millsap,Torrey Craig,Trey Lyles,Will Barton,none,none,none,none,,,,,,,,,,
6190,2017-11-27,POR,NYK,1.0,CJ McCollum,Damian Lillard,Ed Davis,Jake Layman,Jusuf Nurkic,Maurice Harkless,Pat Connaughton,Zach Collins,none,none,none,none,none,none,none,Damyean Dotson,Doug McDermott,Enes Freedom,Frank Ntilikina,Kristaps Porzingis,Luke Kornet,Tim Hardaway Jr,Willy Hernangomez,none,none,none,none,none,none,none,,,,,,,,,,
6191,2017-11-30,POR,MIL,0.0,CJ McCollum,Damian Lillard,Ed Davis,Jake Layman,Jusuf Nurkic,Maurice Harkless,Pat Connaughton,Zach Collins,none,none,none,none,none,none,none,Eric Bledsoe,Gary Payton II,Giannis Antetokounmpo,Jabari Parker,Khris Middleton,Malcolm Brogdon,Sterling Brown,Tony Snell,none,none,none,none,none,none,none,,,,,,,,,,
6192,2017-12-16,POR,CHO,1.0,CJ McCollum,Damian Lillard,Ed Davis,Jake Layman,Jusuf Nurkic,Maurice Harkless,Pat Connaughton,Zach Collins,none,none,none,none,none,none,none,Cody Zeller,Dwight Howard,Frank Kaminsky,Jeremy Lamb,Kemba Walker,Malik Monk,Michael Carter-Williams,Nicolas Batum,none,none,none,none,none,none,none,,,,,,,,,,
6193,2017-12-22,POR,DEN,0.0,CJ McCollum,Damian Lillard,Ed Davis,Jake Layman,Jusuf Nurkic,Maurice Harkless,Pat Connaughton,Zach Collins,none,none,none,none,none,none,none,Emmanuel Mudiay,Gary Harris,Jamal Murray,Malik Beasley,Mason Plumlee,Monte Morris,Nikola Jokic,Paul Millsap,Torrey Craig,Trey Lyles,Will Barton,none,none,none,none,,,,,,,,,,
6194,2017-12-30,POR,ATL,0.0,CJ McCollum,Damian Lillard,Ed Davis,Jake Layman,Jusuf Nurkic,Maurice Harkless,Pat Connaughton,Zach Collins,none,none,none,none,none,none,none,DeAndre' Bembry,Dennis Schroder,Dewayne Dedmon,John Collins,Kent Bazemore,Mike Muscala,Taurean Prince,none,none,none,none,none,none,none,none,,,,,,,,,,
6195,2018-01-05,POR,ATL,1.0,CJ McCollum,Damian Lillard,Ed Davis,Jake Layman,Jusuf Nurkic,Maurice Harkless,Pat Connaughton,Zach Collins,none,none,none,none,none,none,none,DeAndre' Bembry,Dennis Schroder,Dewayne Dedmon,John Collins,Kent Bazemore,Mike Muscala,Taurean Prince,none,none,none,none,none,none,none,none,,,,,,,,,,
6196,2018-01-20,POR,DAL,1.0,CJ McCollum,Damian Lillard,Ed Davis,Jake Layman,Jusuf Nurkic,Maurice Harkless,Pat Connaughton,Zach Collins,none,none,none,none,none,none,none,Dennis Smith Jr,Dorian Finney-Smith,Dwight Powell,Harrison Barnes,Maxi Kleber,Nerlens Noel,Seth Curry,Wesley Matthews,none,none,none,none,none,none,none,,,,,,,,,,
6197,2018-01-22,POR,DEN,0.0,CJ McCollum,Damian Lillard,Ed Davis,Jake Layman,Jusuf Nurkic,Maurice Harkless,Pat Connaughton,Zach Collins,none,none,none,none,none,none,none,Emmanuel Mudiay,Gary Harris,Jamal Murray,Malik Beasley,Mason Plumlee,Monte Morris,Nikola Jokic,Paul Millsap,Torrey Craig,Trey Lyles,Will Barton,none,none,none,none,,,,,,,,,,
6198,2018-01-26,POR,DAL,1.0,CJ McCollum,Damian Lillard,Ed Davis,Jake Layman,Jusuf Nurkic,Maurice Harkless,Pat Connaughton,Zach Collins,none,none,none,none,none,none,none,Dennis Smith Jr,Dorian Finney-Smith,Dwight Powell,Harrison Barnes,Maxi Kleber,Nerlens Noel,Seth Curry,Wesley Matthews,none,none,none,none,none,none,none,,,,,,,,,,
6199,2018-02-08,POR,CHO,1.0,CJ McCollum,Damian Lillard,Ed Davis,Jake Layman,Jusuf Nurkic,Maurice Harkless,Pat Connaughton,Zach Collins,none,none,none,none,none,none,none,Cody Zeller,Dwight Howard,Frank Kaminsky,Jeremy Lamb,Kemba Walker,Malik Monk,Michael Carter-Williams,Nicolas Batum,Willy Hernangomez,none,none,none,none,none,none,,,,,,,,,,
6200,2018-03-06,POR,NYK,1.0,CJ McCollum,Damian Lillard,Ed Davis,Jake Layman,Jusuf Nurkic,Maurice Harkless,Pat Connaughton,Zach Collins,none,none,none,none,none,none,none,Damyean Dotson,Emmanuel Mudiay,Enes Freedom,Frank Ntilikina,Kristaps Porzingis,Luke Kornet,Tim Hardaway Jr,Trey Burke,none,none,none,none,none,none,none,,,,,,,,,,
6201,2018-04-03,POR,DAL,0.0,CJ McCollum,Damian Lillard,Ed Davis,Jake Layman,Jusuf Nurkic,Maurice Harkless,Pat Connaughton,Zach Collins,none,none,none,none,none,none,none,Dennis Smith Jr,Dorian Finney-Smith,Doug McDermott,Dwight Powell,Harrison Barnes,Maxi Kleber,Nerlens Noel,Seth Curry,Wesley Matthews,none,none,none,none,none,none,,,,,,,,,,
6202,2018-04-09,POR,DEN,0.0,CJ McCollum,Damian Lillard,Ed Davis,Jake Layman,Jusuf Nurkic,Maurice Harkless,Pat Connaughton,Zach Collins,none,none,none,none,none,none,none,Gary Harris,Jamal Murray,Malik Beasley,Mason Plumlee,Monte Morris,Nikola Jokic,Paul Millsap,Torrey Craig,Trey Lyles,Will Barton,none,none,none,none,none,,,,,,,,,,
6203,2016-10-28,HOU,DAL,1.0,Clint Capela,Eric Gordon,James Harden,Montrezi Harrell,Patrick Beverley,Trevor Ariza,none,none,none,none,none,none,none,none,none,Dorian Finney-Smith,Dwight Powell,Harrison Barnes,Justin Anderson,Seth Curry,Wesley Matthews,none,none,none,none,none,none,none,none,none,,,,,,,,,,
6204,2016-10-30,HOU,DAL,1.0,Clint Capela,Eric Gordon,James Harden,Montrezi Harrell,Patrick Beverley,Trevor Ariza,none,none,none,none,none,none,none,none,none,Dorian Finney-Smith,Dwight Powell,Harrison Barnes,Justin Anderson,Seth Curry,Wesley Matthews,none,none,none,none,none,none,none,none,none,,,,,,,,,,
6205,2016-11-01,HOU,CLE,0.0,Clint Capela,Eric Gordon,James Harden,Montrezi Harrell,Patrick Beverley,Trevor Ariza,none,none,none,none,none,none,none,none,none,Kevin Love,Kyrie Irving,LeBron James,Tristan Thompson,none,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
6206,2016-11-05,HOU,ATL,0.0,Clint Capela,Eric Gordon,James Harden,Montrezi Harrell,Patrick Beverley,Trevor Ariza,none,none,none,none,none,none,none,none,none,DeAndre' Bembry,Dennis Schroder,Dwight Howard,Kent Bazemore,Mike Muscala,Paul Millsap,Taurean Prince,Tim Hardaway Jr,none,none,none,none,none,none,none,,,,,,,,,,
6207,2016-11-23,HOU,TOR,0.0,Clint Capela,Eric Gordon,James Harden,Montrezi Harrell,Patrick Beverley,Trevor Ariza,none,none,none,none,none,none,none,none,none,Cory Joseph,Delon Wright,Demar DeRozan,Fred VanVleet,Jacob Poeltl,Jonas Valanciunas,Kyle Lowry,Norman Powell,Pascal Siakam,Terrence Ross,none,none,none,none,none,,,,,,,,,,
6208,2016-12-02,HOU,DEN,1.0,Clint Capela,Eric Gordon,James Harden,Montrezi Harrell,Patrick Beverley,Trevor Ariza,none,none,none,none,none,none,none,none,none,Danilo Gallinari,Emmanuel Mudiay,Gary Harris,Jamal Murray,Jusuf Nurkic,Malik Beasley,Nikola Jokic,Will Barton,none,none,none,none,none,none,none,,,,,,,,,,
6209,2016-12-10,HOU,DAL,1.0,Clint Capela,Eric Gordon,James Harden,Montrezi Harrell,Patrick Beverley,Trevor Ariza,none,none,none,none,none,none,none,none,none,Dorian Finney-Smith,Dwight Powell,Harrison Barnes,Justin Anderson,Seth Curry,Wesley Matthews,none,none,none,none,none,none,none,none,none,,,,,,,,,,
6210,2016-12-23,HOU,MEM,0.0,Clint Capela,Eric Gordon,James Harden,Montrezi Harrell,Patrick Beverley,Trevor Ariza,none,none,none,none,none,none,none,none,none,James Ennis III,JaMychal Green,Mike Conley,none,none,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
6211,2016-12-27,HOU,DAL,1.0,Clint Capela,Eric Gordon,James Harden,Montrezi Harrell,Patrick Beverley,Trevor Ariza,none,none,none,none,none,none,none,none,none,Dorian Finney-Smith,Dwight Powell,Harrison Barnes,Justin Anderson,Seth Curry,Wesley Matthews,none,none,none,none,none,none,none,none,none,,,,,,,,,,
6212,2017-01-08,HOU,TOR,1.0,Clint Capela,Eric Gordon,James Harden,Montrezi Harrell,Patrick Beverley,Trevor Ariza,none,none,none,none,none,none,none,none,none,Cory Joseph,Delon Wright,Demar DeRozan,Fred VanVleet,Jacob Poeltl,Jonas Valanciunas,Kyle Lowry,Norman Powell,Pascal Siakam,Terrence Ross,none,none,none,none,none,,,,,,,,,,
6213,2017-01-13,HOU,MEM,0.0,Clint Capela,Eric Gordon,James Harden,Montrezi Harrell,Patrick Beverley,Trevor Ariza,none,none,none,none,none,none,none,none,none,James Ennis III,JaMychal Green,Mike Conley,none,none,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
6214,2017-01-17,HOU,MIA,0.0,Clint Capela,Eric Gordon,James Harden,Montrezi Harrell,Patrick Beverley,Trevor Ariza,none,none,none,none,none,none,none,none,none,Goran Dragic,Hassan Whiteside,Jalen Johnson,James Johnson,Josh Richardson,Justise Winslow,Rodney McGruder,Udonis Haslem,Wayne Ellington,none,none,none,none,none,none,,,,,,,,,,
6215,2017-01-18,HOU,MIL,1.0,Clint Capela,Eric Gordon,James Harden,Montrezi Harrell,Patrick Beverley,Trevor Ariza,none,none,none,none,none,none,none,none,none,Giannis Antetokounmpo,Greg Monroe,Jabari Parker,Khris Middleton,Malcolm Brogdon,Tony Snell,none,none,none,none,none,none,none,none,none,,,,,,,,,,
6216,2017-01-21,HOU,MEM,1.0,Clint Capela,Eric Gordon,James Harden,Montrezi Harrell,Patrick Beverley,Trevor Ariza,none,none,none,none,none,none,none,none,none,James Ennis III,JaMychal Green,Mike Conley,none,none,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
6217,2017-01-23,HOU,MIL,0.0,Clint Capela,Eric Gordon,James Harden,Montrezi Harrell,Patrick Beverley,Trevor Ariza,none,none,none,none,none,none,none,none,none,Giannis Antetokounmpo,Greg Monroe,Jabari Parker,Khris Middleton,Malcolm Brogdon,Tony Snell,none,none,none,none,none,none,none,none,none,,,,,,,,,,
6218,2017-02-02,HOU,ATL,0.0,Clint Capela,Eric Gordon,James Harden,Montrezi Harrell,Patrick Beverley,Trevor Ariza,none,none,none,none,none,none,none,none,none,DeAndre' Bembry,Dennis Schroder,Dwight Howard,Kent Bazemore,Mike Muscala,Paul Millsap,Taurean Prince,Tim Hardaway Jr,none,none,none,none,none,none,none,,,,,,,,,,
6219,2017-02-15,HOU,MIA,0.0,Clint Capela,Eric Gordon,James Harden,Montrezi Harrell,Patrick Beverley,Trevor Ariza,none,none,none,none,none,none,none,none,none,Goran Dragic,Hassan Whiteside,Jalen Johnson,James Johnson,Josh Richardson,Justise Winslow,Rodney McGruder,Udonis Haslem,Wayne Ellington,none,none,none,none,none,none,,,,,,,,,,
6220,2017-03-04,HOU,MEM,1.0,Clint Capela,Eric Gordon,James Harden,Lou Williams,Montrezi Harrell,Patrick Beverley,Trevor Ariza,none,none,none,none,none,none,none,none,James Ennis III,JaMychal Green,Mike Conley,none,none,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
6221,2017-03-12,HOU,CLE,1.0,Clint Capela,Eric Gordon,James Harden,Lou Williams,Montrezi Harrell,Patrick Beverley,Trevor Ariza,none,none,none,none,none,none,none,none,Kevin Love,Kyrie Irving,LeBron James,Tristan Thompson,none,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
6222,2017-03-18,HOU,DEN,1.0,Clint Capela,Eric Gordon,James Harden,Lou Williams,Montrezi Harrell,Patrick Beverley,Trevor Ariza,none,none,none,none,none,none,none,none,Danilo Gallinari,Emmanuel Mudiay,Gary Harris,Jamal Murray,Malik Beasley,Mason Plumlee,Nikola Jokic,Will Barton,none,none,none,none,none,none,none,,,,,,,,,,
6223,2017-03-20,HOU,DEN,1.0,Clint Capela,Eric Gordon,James Harden,Lou Williams,Montrezi Harrell,Patrick Beverley,Trevor Ariza,none,none,none,none,none,none,none,none,Danilo Gallinari,Emmanuel Mudiay,Gary Harris,Jamal Murray,Malik Beasley,Mason Plumlee,Nikola Jokic,Will Barton,none,none,none,none,none,none,none,,,,,,,,,,
6224,2017-03-26,HOU,OKC,1.0,Clint Capela,Eric Gordon,James Harden,Lou Williams,Montrezi Harrell,Patrick Beverley,Trevor Ariza,none,none,none,none,none,none,none,none,Domantas Sabonis,Doug McDermott,Enes Freedom,Jerami Grant,Russell Westbrook,Steven Adams,Taj Gibson,Victor Oladipo,none,none,none,none,none,none,none,,,,,,,,,,
6225,2017-04-05,HOU,DEN,1.0,Clint Capela,Eric Gordon,James Harden,Lou Williams,Montrezi Harrell,Patrick Beverley,Trevor Ariza,none,none,none,none,none,none,none,none,Danilo Gallinari,Emmanuel Mudiay,Gary Harris,Jamal Murray,Malik Beasley,Mason Plumlee,Nikola Jokic,Will Barton,none,none,none,none,none,none,none,,,,,,,,,,
6226,2020-03-04,CHI,MIN,0.0,Coby White,Daniel Gafford,Lauri Markkanen,Luke Kornet,Max Strus,Otto Porter Jr,Shaquille Harrison,Thaddeus Young,Tomas Satoransky,Wendell Carter Jr,Zach Lavine,none,none,none,none,D'Angelo Russell,Jaden McLaughlin,Jake Layman,Jalen Johnson,James Johnson,Jarred Vanderbilt,Jarrett Culver,Jaylen Nowell,Jordan McLaughlin,Josh Okogie,Karl Anthony Towns,Kelan Martin,Malik Beasley,Naz Reid,none,,,,,,,,,,
6227,2021-03-17,CHI,SAS,0.0,Coby White,Daniel Gafford,Devon Dotson,Garrett Temple,Lauri Markkanen,Luke Kornet,Otto Porter Jr,Patrick Williams,Thaddeus Young,Tomas Satoransky,Wendell Carter Jr,Zach Lavine,none,none,none,Dejounte Murray,Demar DeRozan,Derrick White,Devin Vassell,Drew Eubanks,Jacob Poeltl,Keita Bates-Diop,Keldon Johnson,LaMarcus Aldridge,Lonnie Walker IV,Luka Samanic,Patty Mills,Qunnidary Weatherspoon,Rudy Gay,Tre Jones,Tre Mann,Trey Lyles,,,,,,,,
6228,2021-03-21,CHI,DET,1.0,Coby White,Daniel Gafford,Devon Dotson,Garrett Temple,Lauri Markkanen,Luke Kornet,Otto Porter Jr,Patrick Williams,Thaddeus Young,Tomas Satoransky,Wendell Carter Jr,Zach Lavine,none,none,none,Delon Wright,Dennis Smith Jr,Frank Jackson,Hamidou Diallo,Isaiah Stewart,Jerami Grant,Josh Jackson,Killian Hayes,Mason Plumlee,Rodney McGruder,Saben Lee,Saddiq Bey,Tyler Cook,Wayne Ellington,none,,,,,,,,,,
6229,2021-03-27,CHI,SAS,0.0,Coby White,Daniel Theis,Devon Dotson,Garrett Temple,Javonte Green,Lauri Markkanen,Nikola Vucevic,Patrick Williams,Thaddeus Young,Tomas Satoransky,Troy Brown Jr,Zach Lavine,none,none,none,Dejounte Murray,Demar DeRozan,Derrick White,Devin Vassell,Drew Eubanks,Jacob Poeltl,Keita Bates-Diop,Keldon Johnson,Lonnie Walker IV,Luka Samanic,Marquese Chriss,Patty Mills,Qunnidary Weatherspoon,Rudy Gay,Tre Jones,Tre Mann,Trey Lyles,,,,,,,,
6230,2021-05-09,CHI,DET,1.0,Coby White,Daniel Theis,Devon Dotson,Garrett Temple,Javonte Green,Lauri Markkanen,Nikola Vucevic,Patrick Williams,Thaddeus Young,Tomas Satoransky,Troy Brown Jr,Zach Lavine,none,none,none,Cory Joseph,Frank Jackson,Hamidou Diallo,Isaiah Stewart,Jerami Grant,Josh Jackson,Killian Hayes,Mason Plumlee,Rodney McGruder,Saben Lee,Saddiq Bey,Tyler Cook,Wayne Ellington,none,none,,,,,,,,,,
6231,2022-01-05,CHO,DET,1.0,Cody Martin,Gordon Hayward,Ish Smith,Jalen McDaniels,Kelly Oubre Jr,LaMelo Ball,Mason Plumlee,Miles Bridges,Nick Richards,P.J. Washington,Terry Rozier,Vernon Carey Jr,none,none,none,Cory Joseph,Frank Jackson,Hamidou Diallo,Isaiah Stewart,Jerami Grant,Josh Jackson,Justin Robinson,Kelly Olynyk,Killian Hayes,Rodney McGruder,Saben Lee,Saddiq Bey,Trey Lyles,none,none,,,,,,,,,,
6232,2017-10-20,CHO,ATL,1.0,Cody Zeller,Dwight Howard,Frank Kaminsky,Jeremy Lamb,Kemba Walker,Malik Monk,Michael Carter-Williams,Nicolas Batum,none,none,none,none,none,none,none,DeAndre' Bembry,Dennis Schroder,Dewayne Dedmon,John Collins,Kent Bazemore,Mike Muscala,Taurean Prince,none,none,none,none,none,none,none,none,,,,,,,,,,
6233,2017-10-23,CHO,MIL,0.0,Cody Zeller,Dwight Howard,Frank Kaminsky,Jeremy Lamb,Kemba Walker,Malik Monk,Michael Carter-Williams,Nicolas Batum,none,none,none,none,none,none,none,Gary Payton II,Giannis Antetokounmpo,Greg Monroe,Jabari Parker,Khris Middleton,Malcolm Brogdon,Sterling Brown,Tony Snell,none,none,none,none,none,none,none,,,,,,,,,,
6234,2017-10-25,CHO,DEN,1.0,Cody Zeller,Dwight Howard,Frank Kaminsky,Jeremy Lamb,Kemba Walker,Malik Monk,Michael Carter-Williams,Nicolas Batum,none,none,none,none,none,none,none,Emmanuel Mudiay,Gary Harris,Jamal Murray,Malik Beasley,Mason Plumlee,Monte Morris,Nikola Jokic,Paul Millsap,Torrey Craig,Trey Lyles,Will Barton,none,none,none,none,,,,,,,,,,
6235,2017-11-01,CHO,MIL,1.0,Cody Zeller,Dwight Howard,Frank Kaminsky,Jeremy Lamb,Kemba Walker,Malik Monk,Michael Carter-Williams,Nicolas Batum,none,none,none,none,none,none,none,Giannis Antetokounmpo,Greg Monroe,Jabari Parker,Khris Middleton,Malcolm Brogdon,Sterling Brown,Tony Snell,none,none,none,none,none,none,none,none,,,,,,,,,,
6236,2017-11-07,CHO,NYK,0.0,Cody Zeller,Dwight Howard,Frank Kaminsky,Jeremy Lamb,Kemba Walker,Malik Monk,Michael Carter-Williams,Nicolas Batum,none,none,none,none,none,none,none,Damyean Dotson,Doug McDermott,Enes Freedom,Frank Ntilikina,Kristaps Porzingis,Luke Kornet,Tim Hardaway Jr,Willy Hernangomez,none,none,none,none,none,none,none,,,,,,,,,,
6237,2017-12-18,CHO,NYK,1.0,Cody Zeller,Dwight Howard,Frank Kaminsky,Jeremy Lamb,Kemba Walker,Malik Monk,Michael Carter-Williams,Nicolas Batum,none,none,none,none,none,none,none,Damyean Dotson,Doug McDermott,Enes Freedom,Frank Ntilikina,Kristaps Porzingis,Luke Kornet,Willy Hernangomez,none,none,none,none,none,none,none,none,,,,,,,,,,
6238,2017-12-22,CHO,MIL,0.0,Cody Zeller,Dwight Howard,Frank Kaminsky,Jeremy Lamb,Kemba Walker,Malik Monk,Michael Carter-Williams,Nicolas Batum,none,none,none,none,none,none,none,Eric Bledsoe,Giannis Antetokounmpo,Jabari Parker,Khris Middleton,Malcolm Brogdon,Sterling Brown,Tony Snell,none,none,none,none,none,none,none,none,,,,,,,,,,
6239,2017-12-23,CHO,MIL,1.0,Cody Zeller,Dwight Howard,Frank Kaminsky,Jeremy Lamb,Kemba Walker,Malik Monk,Michael Carter-Williams,Nicolas Batum,none,none,none,none,none,none,none,Eric Bledsoe,Giannis Antetokounmpo,Jabari Parker,Khris Middleton,Malcolm Brogdon,Sterling Brown,Tony Snell,none,none,none,none,none,none,none,none,,,,,,,,,,
6240,2018-01-10,CHO,DAL,0.0,Cody Zeller,Dwight Howard,Frank Kaminsky,Jeremy Lamb,Kemba Walker,Malik Monk,Michael Carter-Williams,Nicolas Batum,none,none,none,none,none,none,none,Dennis Smith Jr,Dorian Finney-Smith,Dwight Powell,Harrison Barnes,Maxi Kleber,Nerlens Noel,Seth Curry,Wesley Matthews,none,none,none,none,none,none,none,,,,,,,,,,
6241,2018-01-26,CHO,ATL,1.0,Cody Zeller,Dwight Howard,Frank Kaminsky,Jeremy Lamb,Kemba Walker,Malik Monk,Michael Carter-Williams,Nicolas Batum,none,none,none,none,none,none,none,DeAndre' Bembry,Dennis Schroder,Dewayne Dedmon,John Collins,Kent Bazemore,Mike Muscala,Taurean Prince,none,none,none,none,none,none,none,none,,,,,,,,,,
6242,2018-01-31,CHO,ATL,1.0,Cody Zeller,Dwight Howard,Frank Kaminsky,Jeremy Lamb,Kemba Walker,Malik Monk,Michael Carter-Williams,Nicolas Batum,none,none,none,none,none,none,none,DeAndre' Bembry,Dennis Schroder,Dewayne Dedmon,John Collins,Kent Bazemore,Mike Muscala,Taurean Prince,none,none,none,none,none,none,none,none,,,,,,,,,,
6243,2018-02-05,CHO,DEN,0.0,Cody Zeller,Dwight Howard,Frank Kaminsky,Jeremy Lamb,Kemba Walker,Malik Monk,Michael Carter-Williams,Nicolas Batum,none,none,none,none,none,none,none,Emmanuel Mudiay,Gary Harris,Jamal Murray,Malik Beasley,Mason Plumlee,Monte Morris,Nikola Jokic,Paul Millsap,Torrey Craig,Trey Lyles,Will Barton,none,none,none,none,,,,,,,,,,
6244,2018-03-15,CHO,ATL,1.0,Cody Zeller,Dwight Howard,Frank Kaminsky,Jeremy Lamb,Kemba Walker,Malik Monk,Michael Carter-Williams,Nicolas Batum,Willy Hernangomez,none,none,none,none,none,none,Damion Lee,DeAndre' Bembry,Dennis Schroder,Dewayne Dedmon,Jaylen Morris,John Collins,Kent Bazemore,Mike Muscala,Taurean Prince,none,none,none,none,none,none,,,,,,,,,,
6245,2018-03-17,CHO,NYK,0.0,Cody Zeller,Dwight Howard,Frank Kaminsky,Jeremy Lamb,Kemba Walker,Malik Monk,Michael Carter-Williams,Nicolas Batum,Willy Hernangomez,none,none,none,none,none,none,Damyean Dotson,Emmanuel Mudiay,Enes Freedom,Frank Ntilikina,Kristaps Porzingis,Luke Kornet,Tim Hardaway Jr,Trey Burke,none,none,none,none,none,none,none,,,,,,,,,,
6246,2018-03-24,CHO,DAL,1.0,Cody Zeller,Dwight Howard,Frank Kaminsky,Jeremy Lamb,Kemba Walker,Malik Monk,Michael Carter-Williams,Nicolas Batum,Willy Hernangomez,none,none,none,none,none,none,Dennis Smith Jr,Dorian Finney-Smith,Doug McDermott,Dwight Powell,Harrison Barnes,Maxi Kleber,Nerlens Noel,Seth Curry,Wesley Matthews,none,none,none,none,none,none,,,,,,,,,,
6247,2018-03-26,CHO,NYK,1.0,Cody Zeller,Dwight Howard,Frank Kaminsky,Jeremy Lamb,Kemba Walker,Malik Monk,Michael Carter-Williams,Nicolas Batum,Willy Hernangomez,none,none,none,none,none,none,Damyean Dotson,Emmanuel Mudiay,Enes Freedom,Frank Ntilikina,Kristaps Porzingis,Luke Kornet,Tim Hardaway Jr,Trey Burke,none,none,none,none,none,none,none,,,,,,,,,,
6248,2016-10-28,TOR,CLE,0.0,Cory Joseph,Delon Wright,Demar DeRozan,Fred VanVleet,Jacob Poeltl,Jonas Valanciunas,Kyle Lowry,Norman Powell,Pascal Siakam,Terrence Ross,none,none,none,none,none,Kevin Love,Kyrie Irving,LeBron James,Tristan Thompson,none,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
6249,2016-10-31,TOR,DEN,1.0,Cory Joseph,Delon Wright,Demar DeRozan,Fred VanVleet,Jacob Poeltl,Jonas Valanciunas,Kyle Lowry,Norman Powell,Pascal Siakam,Terrence Ross,none,none,none,none,none,Danilo Gallinari,Emmanuel Mudiay,Gary Harris,Jamal Murray,Jusuf Nurkic,Malik Beasley,Nikola Jokic,Will Barton,none,none,none,none,none,none,none,,,,,,,,,,
6250,2016-11-04,TOR,MIA,1.0,Cory Joseph,Delon Wright,Demar DeRozan,Fred VanVleet,Jacob Poeltl,Jonas Valanciunas,Kyle Lowry,Norman Powell,Pascal Siakam,Terrence Ross,none,none,none,none,none,Goran Dragic,Hassan Whiteside,Jalen Johnson,James Johnson,Josh Richardson,Justise Winslow,Rodney McGruder,Udonis Haslem,Wayne Ellington,none,none,none,none,none,none,,,,,,,,,,
6251,2016-11-15,TOR,CLE,0.0,Cory Joseph,Delon Wright,Demar DeRozan,Fred VanVleet,Jacob Poeltl,Jonas Valanciunas,Kyle Lowry,Norman Powell,Pascal Siakam,Terrence Ross,none,none,none,none,none,Kevin Love,Kyrie Irving,LeBron James,Tristan Thompson,none,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
6252,2016-11-18,TOR,DEN,1.0,Cory Joseph,Delon Wright,Demar DeRozan,Fred VanVleet,Jacob Poeltl,Jonas Valanciunas,Kyle Lowry,Norman Powell,Pascal Siakam,Terrence Ross,none,none,none,none,none,Danilo Gallinari,Emmanuel Mudiay,Gary Harris,Jamal Murray,Jusuf Nurkic,Malik Beasley,Nikola Jokic,Will Barton,none,none,none,none,none,none,none,,,,,,,,,,
6253,2016-11-25,TOR,MIL,1.0,Cory Joseph,Delon Wright,Demar DeRozan,Fred VanVleet,Jacob Poeltl,Jonas Valanciunas,Kyle Lowry,Norman Powell,Pascal Siakam,Terrence Ross,none,none,none,none,none,Giannis Antetokounmpo,Greg Monroe,Jabari Parker,Khris Middleton,Malcolm Brogdon,Tony Snell,none,none,none,none,none,none,none,none,none,,,,,,,,,,
6254,2016-11-30,TOR,MEM,1.0,Cory Joseph,Delon Wright,Demar DeRozan,Fred VanVleet,Jacob Poeltl,Jonas Valanciunas,Kyle Lowry,Norman Powell,Pascal Siakam,Terrence Ross,none,none,none,none,none,James Ennis III,JaMychal Green,Mike Conley,none,none,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
6255,2016-12-03,TOR,ATL,1.0,Cory Joseph,Delon Wright,Demar DeRozan,Fred VanVleet,Jacob Poeltl,Jonas Valanciunas,Kyle Lowry,Norman Powell,Pascal Siakam,Terrence Ross,none,none,none,none,none,DeAndre' Bembry,Dennis Schroder,Dwight Howard,Kent Bazemore,Mike Muscala,Paul Millsap,Taurean Prince,Tim Hardaway Jr,none,none,none,none,none,none,none,,,,,,,,,,
6256,2016-12-05,TOR,CLE,0.0,Cory Joseph,Delon Wright,Demar DeRozan,Fred VanVleet,Jacob Poeltl,Jonas Valanciunas,Kyle Lowry,Norman Powell,Pascal Siakam,Terrence Ross,none,none,none,none,none,Kevin Love,Kyrie Irving,LeBron James,Tristan Thompson,none,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
