0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
36,2017-01-04,ORL,ATL,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,DeAndre' Bembry,Dennis Schroder,Dwight Howard,Kent Bazemore,Mike Muscala,Paul Millsap,Taurean Prince,Tim Hardaway Jr,none,none,none,none,none,none,none,,,,,,,,,,
37,2017-01-06,ORL,HOU,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Clint Capela,Eric Gordon,James Harden,Montrezi Harrell,Patrick Beverley,Trevor Ariza,none,none,none,none,none,none,none,none,none,,,,,,,,,,
38,2017-01-08,ORL,LAL,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Brandon Ingram,D'Angelo Russell,Ivica Zubac,Jordan Clarkson,Julius Randle,Lou Williams,none,none,none,none,none,none,none,none,none,,,,,,,,,,
39,2017-01-11,ORL,LAC,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Austin Rivers,Blake Griffin,Chris Paul,DeAndre Jordan,none,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
40,2017-01-13,ORL,POR,1.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,CJ McCollum,Damian Lillard,Ed Davis,Jake Layman,Mason Plumlee,Maurice Harkless,Pat Connaughton,none,none,none,none,none,none,none,none,,,,,,,,,,
41,2017-01-14,ORL,UTA,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Alec Burks,Derrick Favors,George Hill,Gordon Hayward,Joe Ingles,Raul Neto,Rodney Hood,Rudy Gobert,Trey Lyles,none,none,none,none,none,none,,,,,,,,,,
42,2017-01-16,ORL,DEN,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,none,Danilo Gallinari,Emmanuel Mudiay,Gary Harris,Jamal Murray,Jusuf Nurkic,Malik Beasley,Nikola Jokic,Will Barton,none,none,none,none,none,none,none,,,,,,,,,,
43,2017-01-18,ORL,NOP,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Anthony Davis,Buddy Hield,Cade Cunningham,E'Twaun Moore,Jrue Holiday,Langston Galloway,Solomon Hill,Tim Frazier,none,none,none,none,none,none,none,,,,,,,,,,
44,2017-01-20,ORL,MIL,1.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Giannis Antetokounmpo,Greg Monroe,Jabari Parker,Khris Middleton,Malcolm Brogdon,Tony Snell,none,none,none,none,none,none,none,none,none,,,,,,,,,,
45,2017-01-22,ORL,GSW,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,,,,,,,,,,
